asia_category_code,brand_name,category_name,code,color_name,description,description_short,family,id,image,import_amount,import_price,import_value,is_active,last_date,magento_status,model,model2,name,price,product_all_properties,promotion_price,promotion_status,pv_sku,quantity,revenue,series,status,url_key,variant,watched
03-N004-01,TH999999,Lót Chuột,Sửa Mã SP,,,,,7,http://phongvu.vn/media/catalog/product/m/p/mp_cp_lmht_2.png,0,,0,0,,2,Bàn di chuột CoolerPlus Pad 4.5mm,,Bàn di chuột CoolerPlus Pad 4.5mm,,1703390 ban di chuot coolerplus pad 4.5mm lot chuot  th999999,,0.0,1703390,0.0,0.0,,5,mi-ng-lot-chuot-coolerplus-pad-4-5mm,,0
03-N004-01,CORSAIR,Lót Chuột,Sửa Mã SP,,,,,12,http://phongvu.vn/media/catalog/product/m/m/mm300_ext_02.png,0,,0,0,,2,Bàn di chuột Corsair MM300 Extended,,Bàn di chuột Corsair MM300 Extended,830000.0,1703393 ban di chuot corsair mm300 extended lot chuot  corsair,,0.0,1703393,0.0,0.0,,0,ban-di-chu-t-corsair-mm300-extended,,0
,CORSAIR,Lót Chuột,Sửa Mã SP,,,,,16,http://phongvu.vn/media/catalog/product/m/m/mm800_01.png,0,,0,0,,2,Bàn di chuột Corsair MM800 Polaris,,Bàn di chuột Corsair MM800 Polaris,1480000.0,1703487 ban di chuot corsair mm800 polaris lot chuot  corsair,,0.0,1703487,0.0,0.0,,0,ban-di-chu-t-corsair-mm800-polaris,,0
03-N004-01,E-Blue,Lót Chuột,Sửa Mã SP,,"<p>- Chất liệu gia c&ocirc;ng cao cấp<br />- K&iacute;ch thước trung b&igrave;nh,ph&ugrave; hợp với nhiều loại b&agrave;n<br />- H&igrave;nh ảnh ấn tượng</p>","<p>- Chất liệu gia c&ocirc;ng cao cấp<br />- K&iacute;ch thước trung b&igrave;nh,ph&ugrave; hợp với nhiều loại b&agrave;n<br />- H&igrave;nh ảnh ấn tượng</p>",,21,http://shop.gcafe.vn/media/catalog/product/e/-/e-blue-mazer-gaming-mouse-pad-medium-xmp0200_1.jpg,-1,20000,-1,0,2018-09-24,1,Miếng lót chuột E-Blue XMP 0200,,Miếng lót chuột E-Blue XMP 0200,45000.0,1703401 mieng lot chuot e-blue xmp 0200 lot chuot  e-blue,,0.0,1703401,0.0010660980810234541,4.746892042302491e-05,,5,mieng-lot-chuot-e-blue-xmp0200,,0
03-N004-01,Hacker Assassin,Lót Chuột,Sửa Mã SP,,"- Kích thước Medium
- Màu đen viền đỏ
- Bề mặt trơn mượt","- Kích thước Medium
- Màu đen viền đỏ
- Bề mặt trơn mượt",,22,http://shop.gcafe.vn/media/catalog/product/2/0/20171109_092552-700x600.jpg,0,16926,0,0,,1,Miếng lót chuột Hacker Assassin 4.5mm,,Miếng lót chuột Hacker Assassin 4.5mm,20000.0,1703490 mieng lot chuot hacker assassin 4.5mm lot chuot  hacker assassin,,0.0,1703490,0.0,0.0,,5,ban-di-chu-t-hacker-assassin-4-5mm,4.5mm,0
,Mionix,Lót Chuột,Sửa Mã SP,,,,,30,http://phongvu.vn/media/catalog/product/b/a/bandi_mionix_sargasl_5.jpg,0,,0,0,,2,Bàn di chuột Mionix Sargas Large,,Bàn di chuột Mionix Sargas Large,390000.0,1703492 ban di chuot mionix sargas large lot chuot  mionix,,0.0,1703492,0.0,0.0,,0,ban-di-chu-t-mionix-sargas-large,,0
03-N004-01,TH999999,Lót Chuột,Sửa Mã SP,,,,,31,http://phongvu.vn/media/catalog/product/1/_/1_15_2.jpg,0,,0,0,,2,Bàn di chuột Mionix Sargas Medium,,Bàn di chuột Mionix Sargas Medium,300000.0,1703408 ban di chuot mionix sargas medium lot chuot  th999999,,0.0,1703408,0.0,0.0,,0,ban-di-chu-t-mionix-sargas-medium,,0
03-N004-01,NEWMEN,Lót Chuột,Sửa Mã SP,,,,,35,http://shop.gcafe.vn/media/catalog/product/n/e/newmen_pad300_3.jpg,0,25670,0,0,,1,Miếng lót chuột Newmen,,Miếng lót chuột Newmen,30000.0,1703409 mieng lot chuot newmen lot chuot  newmen,,0.0,1703409,0.0,0.0,,5,ban-di-chu-t-newmen,,0
03-N004-01,NEWMEN,Lót Chuột,Sửa Mã SP,,<p>- Tăng độ ch&iacute;nh x&aacute;c cho người chơi Games.<br />- K&iacute;ch thước: 320*240*4mm.<br />- Đựng trong t&uacute;i nilon<br />- Sử dụng cho văn ph&ograve;ng<br />- Sử dụng c&ocirc;ng nghệ in chuyển nhiệt chống phai mầu biến dạng</p>,<p>- Tăng độ ch&iacute;nh x&aacute;c cho người chơi Games.<br />- K&iacute;ch thước: 320*240*4mm.<br />- Đựng trong t&uacute;i nilon<br />- Sử dụng cho văn ph&ograve;ng<br />- Sử dụng c&ocirc;ng nghệ in chuyển nhiệt chống phai mầu biến dạng</p>,,42,http://shop.gcafe.vn/media/catalog/product/2/0/208397_ban-di-chuot-newmen-mp238_3.jpg,0,20000,0,0,,1,Miếng lót chuột Newmen MP-238 Gaming,,Miếng lót chuột Newmen MP-238 Gaming,25000.0,1703410 mieng lot chuot newmen mp-238 gaming lot chuot  newmen,,0.0,1703410,0.0,0.0,,5,ban-di-chu-t-newmen-mp-238-gaming,,0
03-N004-01,NEWMEN,Lót Chuột,Sửa Mã SP,,<p>- Chất liệu cao cấp<br />- Thiết kế hiện đại<br />- Ph&ugrave; hợp nhiều loại chuột<br />- C&oacute; thể cuộn tr&ograve;n</p>,<p>- Chất liệu cao cấp<br />- Thiết kế hiện đại<br />- Ph&ugrave; hợp nhiều loại chuột<br />- C&oacute; thể cuộn tr&ograve;n</p>,,43,http://shop.gcafe.vn/media/catalog/product/m/p/mp-300_1.u2470.d20161111.t150539.189949.jpg,7,100000,0,0,,1,Miếng lót chuột Newmen MP300,,Miếng lót chuột Newmen MP300,130000.0,1703411 mieng lot chuot newmen mp300 lot chuot  newmen,,0.0,1703411,0.0,0.0,,5,ban-di-chu-t-newmen-mp300,,0
