ma_vt,ten_vt,sl_ban_ra,tien_ban_ra,last_date,extra
1200109,,51.0,12918160.0,2018-10-09T00:00:00,942.0
1200110,Bộ cấp nguồn/ Adaptor Acer 19V-4.74A,,,2018-10-08T00:00:00,
1200112,Bộ cấp nguồn/ Adaptor Asus 19V-2.1A,2.0,678182.0,2018-09-25T00:00:00,134.0
1200113,Bộ cấp nguồn/ Adaptor Asus 19V-3.42A,116.0,29527220.0,2018-10-09T00:00:00,853.0
1200114,Bộ cấp nguồn/ Adaptor Asus 19V-4.74A,31.0,8651821.0,2018-10-09T00:00:00,655.0
1200119,Bộ cấp nguồn/ Adaptor Dell 19.5V-3.34A (Đầu kim nhỏ),80.0,29090882.0,2018-10-09T00:00:00,403.0
1200122,Bộ cấp nguồn/ Adaptor Dell 19.5V - 4.62A (Đầu kim),69.0,22581837.0,2018-10-09T00:00:00,417.0
1200124,Bộ cấp nguồn/ Adaptor Dell 19.5V-6.7A,2.0,1236364.0,2018-09-27T00:00:00,339.0
1200131,Bộ cấp nguồn/ Adaptor HP 18.5V-3.5A,1.0,230000.0,2018-09-19T00:00:00,957.0
1200132,Bộ cấp nguồn/ Adaptor HP 18.5V 3.5A (Đầu kim),19.0,4836355.0,2018-10-08T00:00:00,218.0
1200138,Bộ cấp nguồn/ Adaptor HP 19V-4.74A (Đầu kim),19.0,5527271.0,2018-10-09T00:00:00,978.0
1200140,Bộ cấp nguồn/ Adaptor IBM 16V-3.5A/4.5A,1.0,254545.0,2018-10-05T00:00:00,277.0
1200144,Bộ cấp nguồn/ Adaptor Lenovo 19V-3.42A,3.0,799092.0,2018-09-27T00:00:00,973.0
1200146,Bộ cấp nguồn/ Adaptor Lenovo 20V-2A,0.0,0.0,2018-09-30T00:00:00,0.0
1200147,Bộ cấp nguồn/ Adaptor Lenovo 20V-3.25A (Đầu Thường),4.0,1065456.0,2018-10-08T00:00:00,961.0
1200148,Bộ cấp nguồn/ Adaptor Lenovo 20V-3.25A (Đầu Kim),2.0,563636.0,2018-10-05T00:00:00,614.0
1200155,Bộ cấp nguồn/ Adaptor Samsung 19V-2.1A,2.0,558182.0,2018-09-17T00:00:00,205.0
1200156,Bộ cấp nguồn/ Adaptor Samsung 19V-3.16A,2.0,558182.0,2018-10-03T00:00:00,205.0
1200164,Bộ cấp nguồn/ Adaptor Sony 19.5V-3.9A,11.0,3070001.0,2018-10-08T00:00:00,623.0
1200165,Bộ cấp nguồn/ Adaptor Sony 19.5V-4.7A,14.0,4072726.0,2018-10-08T00:00:00,402.0
1200166,Bộ cấp nguồn/ Adaptor Sony 19.5V-3.3A,6.0,1674546.0,2018-10-04T00:00:00,615.0
1200169,Bộ cấp nguồn/ Adaptor Toshiba 19V-1.58A,1.0,254545.0,2018-09-27T00:00:00,277.0
1200170,Bộ cấp nguồn/ Adaptor Toshiba 19V-3.42A,11.0,2745450.0,2018-10-08T00:00:00,970.0
1200171,Bộ cấp nguồn/ Adaptor Toshiba 19V-3.95A,3.0,872727.0,2018-10-01T00:00:00,951.0
1200172,Bộ cấp nguồn/ Adaptor Toshiba 19V-4.74A,2.0,558182.0,2018-10-08T00:00:00,205.0
1200177,Bộ cấp nguồn/ Adaptor Apple 45W 2012 Zin,1.0,860909.0,2018-09-27T00:00:00,232.0
1200179,Bộ cấp nguồn/ Adaptor Apple 85W Zin,0.0,0.0,2018-09-20T00:00:00,0.0
1200181,áo mưa,3.0,0.0,2018-09-26T00:00:00,0.0
1200184,áo thun,280.0,0.0,2018-10-09T00:00:00,0.0
1200237,Ba lô Acer,1611.0,0.0,2018-10-09T00:00:00,0.0
1200250,Ba lô HP,0.0,0.0,2018-09-24T00:00:00,0.0
1200253,Ba lô Lenovo,210.0,0.0,2018-10-09T00:00:00,0.0
1200261,Ba lô tặng,7.0,0.0,2018-10-03T00:00:00,0.0
1200302,Bao da ổ cứng HDD Seagate,219.0,0.0,2018-10-09T00:00:00,0.0
1200613,Bộ vít 6088,17.0,1375361.0,2018-10-09T00:00:00,94.0
1200707,Cáp 1394 SSK,38.0,1209084.0,2018-10-09T00:00:00,302.0
1200709,Cáp CommScope (AMP) chính hiệu 5e FTP  (Thùng 305m),5.0,13569092.0,2018-10-05T00:00:00,60.0
1200712,Cáp CommScope (AMP) chính hiệu 5e UTP (Thùng 300m),25.0,47904358.0,2018-10-09T00:00:00,65.0
1200713,Cáp CommScope (AMP) chính hiệu cat.6 UTP (Thùng 300m),16.0,41192977.0,2018-10-09T00:00:00,552.0
